CODIGO	CLIENTE	TIPO PRODUCTO	MÁSTER	MARCA
00438	TAIKA SEAFOOD CORPORATION  	COLA	10 Und * 1.8 Kg	AQUA MARIS
00439	LAWRENCE WHOLESALE	COLA	6 Und * 4 Lb	GOLDEN SHRIMP
00440	GALLANT DACHAN	COLA	10 Und * 1.8 Kg	AQUA MARIS
00441	ICELAND SEAFOOD IBERICA	ENTERO	6 Und * 1.80 Kg	SEASTAR
00442	Marr S.p.A.	ENTERO	6 Und * 2 Kg	STARFISH
00444	DELFIN ULTRACONGELADOS S.A.	ENTERO	2 Und * 12 Kg	SIN MARCA
00445	ESCAL SA	VALOR AGREGADO	2 Und * 10 Kg	SIN MARCA
00446	ESCAL SA	VALOR AGREGADO	10 Und * 2 Kg	SIN MARCA
00447	ICELAND SEAFOOD IBERICA	ENTERO	6 Und * 1.80 Kg	SEASTAR
00448	ICELAND SEAFOOD IBERICA	COLA	6 Und * 1.80 Kg	SEASTAR
00449	TAIKA SEAFOOD CORPORATION  	COLA	10 Und * 1.8 Kg	AQUA MARIS
00450	SEAFOOD TRADING COMPANY SARL	VALOR AGREGADO	12 Und * 0.80 Kg	OCEAN
00451	C.P. Food Products INC (BUYER)	VALOR AGREGADO	5 Und * 2 Lb	Captain's Catch
00452	C.P. Food Products INC (BUYER)	VALOR AGREGADO	4 Und * 5 Lb	Captain's Catch
00453	Marr S.p.A.	COLA	6 Und * 2 Kg	STARFISH
00454	SEAFOOD TRADING COMPANY SARL	VALOR AGREGADO	12 Und * 0.8 Kg	OCEAN
00457	SENECRUS	ENTERO	2 Und * 12 Kg	SIN MARCA
00458	VASILIS SAVRAMIS	ENTERO	3 Und * 4 Kg	SANTA MARINA
00459	HEIPLOEG INTERNATIONAL B.V.	COLA	2 Und * 12 Kg	GOLDEN SHRIMP
00460	ACADIAN FISH CO	VALOR AGREGADO	5 Und * 2 Lb	VITAGULF
00462	THALASSA SEAFOODS	ENTERO	10 Und * 1.8 Kg	GOLDEN SHRIMP
00464	THALASSA SEAFOODS	VALOR AGREGADO	10 Und * 0.8 Kg	SEA
00466	AQUAGOLD S.A.	ENTERO	1 Und * 12 Kg	VITAGULF
00469	SINGULAR SEA S.L.	COLA	10 Und * 1.7 Kg	SINGULAR
00470	PESCAFACIL S.L.	VALOR AGREGADO	1 Und * 12 Kg	JINFULIN
00471	THALASSA SEAFOODS	ENTERO	10 Und * 0.75 Kg	VITAGULF
00472	PESCANOVA INC	COLA	10 Und * 4 Lb	AQUA MARIS
00473	VASILIS SAVRAMIS	ENTERO	3 Und * 4 Kg	SIN MARCA
